,,,,,Batting,,,,Batting Ratios,,,Batted Ball,,,,,,,,,Win Probability,,,Baserunning,,
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
46,Charlie Blackmon,37,COL,91,0.288,64,0.261,0.131,1.10%,15.40%,7.70%,85.3,33.80%,20.00%,38.60%,28.60%,0.64,31.40%,48.60%,20.00%,-0.3,0.00%,0.7,36%,100%,36%
47,Dairon Blanco,31,KCR,25,0.316,80,0.294,0.091,0.00%,20.00%,8.00%,82.9,35.30%,29.40%,41.20%,17.60%,0.78,17.60%,64.70%,17.60%,0.2,0.10%,0,88%,83%,33%
48,JJ Bleday,26,OAK,108,0.289,89,0.289,0.121,0.90%,20.40%,8.30%,86.4,28.60%,23.40%,35.10%,28.60%,0.55,26.00%,54.50%,19.50%,-0.8,-0.40%,-7.3,13%,,33%
49,Xander Bogaerts,31,SDP,137,0.275,71,0.255,0.072,1.50%,18.30%,8.80%,85.1,25.00%,23.00%,51.00%,20.00%,1.04,34.00%,56.00%,10.00%,-0.1,-0.10%,0.3,41%,100%,43%
50,Alec Bohm,27,PHI,123,0.451,192,0.412,0.243,3.30%,15.50%,12.20%,89.9,41.60%,31.50%,40.40%,23.60%,0.68,21.30%,49.40%,29.20%,1.6,1.00%,17.7,22%,50%,56%
51,Sean Bouchard,28,COL,26,0.381,125,0.429,0.095,0.00%,26.90%,19.20%,90.3,38.50%,35.70%,35.70%,21.40%,0.56,42.90%,21.40%,35.70%,0,0.00%,1.1,18%,100%,0%
52,Alex Bregman,30,HOU,108,0.254,57,0.247,0.052,0.00%,12.00%,9.30%,87.5,35.40%,17.60%,43.50%,23.50%,0.77,21.20%,54.10%,24.70%,-1,-0.40%,-6.7,13%,100%,50%
53,Will Brennan,26,CLE,78,0.296,86,0.224,0.183,3.90%,14.10%,6.40%,88.7,49.20%,24.60%,44.30%,21.30%,0.82,41.00%,49.20%,9.80%,0.5,0.40%,0.4,42%,100%,29%
54,Jonah Bride,28,MIA,8,0.203,14,0.2,0,0.00%,25.00%,12.50%,80.8,20.00%,20.00%,40.00%,20.00%,0.67,40.00%,40.00%,20.00%,-0.4,-0.20%,-2.2,0%,,
55,Seth Brown,31,OAK,86,0.253,66,0.292,0.113,2.30%,34.90%,7.00%,88.4,42.00%,30.00%,30.00%,26.00%,0.43,36.00%,52.00%,12.00%,-0.9,-0.40%,-6.8,5%,50%,50%
56,Vidal Bruján,26,MIA,40,0.293,76,0.273,0.135,0.00%,10.00%,7.50%,83.7,24.20%,24.20%,39.40%,21.20%,0.72,24.20%,54.50%,21.20%,-0.3,-0.10%,-2.5,42%,,33%
57,Kris Bryant,32,COL,55,0.271,54,0.214,0.106,1.80%,32.70%,7.30%,89.3,37.90%,24.10%,34.50%,34.50%,0.53,37.90%,44.80%,17.20%,-1,-0.40%,-5.2,14%,,33%
58,Jake Burger,28,MIA,64,0.303,84,0.233,0.193,4.70%,20.30%,7.80%,89.6,41.30%,10.90%,56.50%,23.90%,1.3,32.60%,54.30%,13.00%,-0.1,0.00%,0.9,33%,,29%
59,Alec Burleson,25,STL,62,0.324,101,0.311,0.088,1.60%,17.70%,8.10%,91.9,52.20%,37.00%,37.00%,21.70%,0.59,30.40%,43.50%,26.10%,-0.1,-0.10%,-2.1,11%,,0%
60,Michael Busch,26,CHC,107,0.362,125,0.345,0.237,5.60%,32.70%,9.40%,89.7,41.00%,27.90%,24.60%,42.60%,0.33,31.10%,44.30%,24.60%,0.8,0.40%,4.1,30%,,31%
61,Lawrence Butler,23,OAK,85,0.306,98,0.265,0.137,2.40%,25.90%,14.10%,95.1,54.90%,23.50%,39.20%,31.40%,0.65,27.50%,52.90%,19.60%,0.1,0.00%,0.2,12%,100%,25%
62,Byron Buxton,30,MIN,96,0.306,94,0.362,0.144,1.00%,33.30%,2.10%,90,42.40%,28.80%,37.30%,20.30%,0.59,40.70%,47.50%,11.90%,0.5,0.20%,0.3,39%,100%,75%
63,José Caballero,27,TBR,102,0.319,106,0.324,0.137,2.00%,22.60%,1.00%,81.6,25.30%,24.00%,41.30%,22.70%,0.78,36.00%,56.00%,8.00%,0.1,0.10%,-4.5,37%,69%,100%
64,Trey Cabbage,27,HOU,2,0.632,333,0.5,0.5,0.00%,0.00%,0.00%,105.5,100.00%,50.00%,50.00%,0.00%,1,50.00%,50.00%,0.00%,0.1,0.00%,0.9,0%,,
